Id,Point
8287,"51.5239,.17809"
8289,"50.9911,.15162"
8290,"50.9304,.26695"
8292,"50.8017,.08047"
8294,"50.8108,.21856"
8295,"50.9027,.47895"
8296,"50.6808,-1.19882"
8297,"50.6914,-1.30907"
8298,"50.7218,-1.14287"
8299,"50.6771,-1.506"
8300,"50.7543,-1.3053"
8301,"50.6261,-1.22661"
8302,"50.7439,-1.57475"
8303,"50.7604,-1.67101"
8304,"50.8239,-1.55982"
8305,"51.253,-1.25641"
8306,"50.8797,-1.5593"
8307,"50.9533,-1.5344"
8308,"50.9927,-1.49269"
8309,"50.7884,-1.03384"
8310,"51.085,-1.1376"
8311,"51.089,-1.32886"
8312,"51.0081,-1.33573"
8313,"51.0057,-1.11485"
8314,"50.9418,-1.2285"
8315,"50.8283,-1.1963"
8316,"51.2531,-1.25626"
8317,"50.8519,-.99133"
8318,"50.923,-.81337"
8320,"50.7824,-.69494"
8321,"50.82806,-.80513"
8322,"50.7974,-.75128"
8323,"51.0534,-.6431"
8324,"50.9329,-.64803"
8325,"50.9504,-.52937"
8328,"50.7303,-3.92313"
8330,"50.8143,-3.08864"
8331,"50.8503,-2.88819"
8333,"50.1269,-5.56915"
8334,"51.1383,-3.7585"
8335,"50.3893,-4.7519"
8341,"51.0239,-4.23689"
8345,"50.1961,-5.51309"
8348,"51.4607,-2.61024"
8349,"50.2233,-5.1617"
8350,"51.0336,-3.39855"
8351,"50.9679,-2.15844"
8352,"50.7672,-2.96375"
8353,"50.4985,-4.06072"
8354,"50.3677,-4.23085"
8355,"51.3932,-2.91746"
8356,"51.2065,-3.53674"
8357,"50.4807,-4.46231"
8358,"51.4208,-2.48459"
8359,"51.1153,-2.43138"
8360,"51.4757,-2.12808"
8361,"51.3597,-2.13925"
8362,"51.3415,-2.26553"
8363,"51.3773,-2.32608"
8365,"51.5315,-1.8947"
8366,"50.8143,-3.08864"
8367,"51.642,-2.15456"
8368,"51.5377,-2.4815"
8369,"51.3662,-2.62622"
8370,"51.367,-2.62187"
8371,"51.2311,-2.49261"
8372,"51.2096,-2.44944"
8373,"51.0652,-2.73631"
8374,"51.0886,-2.35403"
8375,"50.8367,-2.60064"
8376,"50.8062,-2.73933"
8377,"51.0545,-3.3354"
8379,"51.3174,-2.49497"
8380,"51.4082,-2.66705"
8381,"50.9022,-2.63277"
8382,"51.1361,-3.00043"
8383,"51.2555,-2.6462"
8384,"50.9722,-3.12366"
8385,"50.9064,-2.94145"
8386,"50.1912,-5.11573"
8387,"51.219,-3.75255"
8388,"50.9758,-4.2904"
8389,"50.7041,-3.97503"
8390,"50.5486,-3.94043"
8391,"50.58219,-3.89902"
8392,"50.3937,-3.73037"
8393,"50.6432,-3.87814"
8395,"50.5853,-4.10892"
8396,"50.4198,-3.95937"
8397,"51.358,-1.92957"
8398,"50.5195,-4.83919"
8399,"50.4787,-3.76166"
8400,"50.7553,-1.9377"
8401,"51.06796,-2.06345"
8403,"50.7685,-3.80515"
8404,"50.61385,-1.95825"
8405,"51.22038,-1.6699"
8407,"50.8583,-3.81146"
8408,"50.9009,-4.39197"
8409,"50.67037,-2.4931"
8410,"51.03167,-2.28159"
8411,"50.8962,-2.33977"
8412,"50.86467,-2.14275"
8413,"50.4407,-4.01024"
8414,"50.1715,-5.4379"
8415,"50.5096,-4.56875"
8417,"50.3822,-4.55989"
8418,"50.3037,-5.09835"
8419,"50.2238,-5.30547"
8420,"50.48178,-4.70131"
8421,"50.5611,-4.48019"
8422,"50.7662,-4.42621"
8423,"50.5588,-4.63779"
8424,"50.5398,-3.70185"
8425,"50.7004,-4.05731"
8426,"50.4167,-4.12589"
8427,"50.432,-4.26991"
8429,"50.6797,-4.69503"
8430,"50.59324,-4.74302"
8431,"50.6443,-4.52941"
8432,"50.7339,-4.54949"
